Timestamp,X,Y
2024-09-07 21:56:38.569,1256,812
2024-09-07 21:56:38.585,1257,814
2024-09-07 21:56:38.713,1257,817
2024-09-07 21:56:38.728,1258,819
2024-09-07 21:56:38.793,1259,822
2024-09-07 21:56:38.809,1261,824
2024-09-07 21:56:38.824,1262,827
2024-09-07 21:56:40.993,1262,829
2024-09-07 21:56:41.001,1262,832
2024-09-07 21:56:41.009,1262,834
2024-09-07 21:56:41.017,1262,837
2024-09-07 21:56:41.025,1259,842
2024-09-07 21:56:41.033,1256,847
2024-09-07 21:56:41.041,1254,853
2024-09-07 21:56:41.048,1251,861
2024-09-07 21:56:41.056,1248,869
2024-09-07 21:56:41.064,1243,877
2024-09-07 21:56:41.073,1239,884
2024-09-07 21:56:41.081,1235,892
2024-09-07 21:56:41.089,1231,897
2024-09-07 21:56:41.096,1230,901
2024-09-07 21:56:41.105,1228,904
2024-09-07 21:56:41.145,1225,907
2024-09-07 21:56:41.161,1223,909
2024-09-07 21:56:41.177,1223,912
2024-09-07 21:56:41.200,1220,914
2024-09-07 21:56:41.241,1218,917
2024-09-07 21:56:41.264,1215,919
2024-09-07 21:56:41.481,1213,922
2024-09-07 21:56:41.497,1210,924
2024-09-07 21:56:41.513,1210,927
2024-09-07 21:56:41.521,1208,929
2024-09-07 21:56:41.529,1208,932
2024-09-07 21:56:41.537,1205,934
2024-09-07 21:56:41.545,1203,937
2024-09-07 21:56:41.552,1203,939
2024-09-07 21:56:41.560,1203,942
2024-09-07 21:56:41.568,1199,946
2024-09-07 21:56:41.577,1196,951
2024-09-07 21:56:41.585,1194,956
2024-09-07 21:56:41.593,1191,959
2024-09-07 21:56:41.601,1189,963
2024-09-07 21:56:41.609,1186,968
2024-09-07 21:56:41.616,1183,974
2024-09-07 21:56:41.625,1179,979
2024-09-07 21:56:41.632,1175,984
2024-09-07 21:56:41.641,1171,989
2024-09-07 21:56:41.648,1169,996
2024-09-07 21:56:41.657,1165,1002
2024-09-07 21:56:41.665,1161,1007
2024-09-07 21:56:41.673,1160,1011
2024-09-07 21:56:41.681,1156,1016
2024-09-07 21:56:41.689,1154,1019
2024-09-07 21:56:41.697,1151,1022
2024-09-07 21:56:41.713,1149,1024
2024-09-07 21:56:41.745,1146,1027
2024-09-07 21:56:41.777,1144,1028
2024-09-07 21:56:41.801,1141,1029
2024-09-07 21:56:41.817,1139,1029
2024-09-07 21:56:41.825,1136,1029
2024-09-07 21:56:41.841,1134,1029
2024-09-07 21:56:41.848,1131,1029
