Timestamp,X,Y
2024-09-07 21:59:04.936,1134,485
2024-09-07 21:59:04.944,1126,478
2024-09-07 21:59:04.953,1123,473
2024-09-07 21:59:04.968,1119,468
2024-09-07 21:59:04.976,1115,458
2024-09-07 21:59:04.984,1113,436
2024-09-07 21:59:04.992,1109,400
2024-09-07 21:59:05.001,1104,348
2024-09-07 21:59:05.009,1098,285
2024-09-07 21:59:05.016,1089,226
2024-09-07 21:59:05.025,1083,179
2024-09-07 21:59:05.032,1079,150
2024-09-07 21:59:05.041,1078,133
2024-09-07 21:59:05.048,1078,124
2024-09-07 21:59:05.057,1078,121
2024-09-07 21:59:05.064,1082,123
2024-09-07 21:59:05.073,1089,131
2024-09-07 21:59:05.080,1099,142
2024-09-07 21:59:05.089,1109,154
2024-09-07 21:59:05.096,1114,168
2024-09-07 21:59:05.105,1117,181
2024-09-07 21:59:05.112,1118,192
2024-09-07 21:59:05.121,1118,201
2024-09-07 21:59:05.128,1118,211
2024-09-07 21:59:05.137,1118,218
2024-09-07 21:59:05.144,1115,227
2024-09-07 21:59:05.153,1115,234
2024-09-07 21:59:05.160,1115,241
2024-09-07 21:59:05.168,1115,248
2024-09-07 21:59:05.176,1116,254
2024-09-07 21:59:05.185,1118,262
2024-09-07 21:59:05.193,1121,271
2024-09-07 21:59:05.201,1124,279
2024-09-07 21:59:05.208,1127,288
2024-09-07 21:59:05.217,1129,296
2024-09-07 21:59:05.225,1131,303
2024-09-07 21:59:05.232,1132,311
2024-09-07 21:59:05.240,1132,319
2024-09-07 21:59:05.248,1132,328
2024-09-07 21:59:05.257,1132,338
2024-09-07 21:59:05.264,1132,348
2024-09-07 21:59:05.273,1132,359
2024-09-07 21:59:05.280,1132,371
2024-09-07 21:59:05.289,1132,383
2024-09-07 21:59:05.295,1132,397
2024-09-07 21:59:05.305,1130,414
2024-09-07 21:59:05.311,1130,433
2024-09-07 21:59:05.321,1128,454
2024-09-07 21:59:05.329,1124,472
2024-09-07 21:59:05.337,1121,489
2024-09-07 21:59:05.345,1116,508
2024-09-07 21:59:05.352,1111,524
2024-09-07 21:59:05.360,1106,539
2024-09-07 21:59:05.369,1100,556
2024-09-07 21:59:05.376,1094,572
2024-09-07 21:59:05.384,1089,587
2024-09-07 21:59:05.393,1085,601
2024-09-07 21:59:05.401,1080,614
2024-09-07 21:59:05.409,1075,626
2024-09-07 21:59:05.416,1071,634
2024-09-07 21:59:05.425,1069,641
2024-09-07 21:59:05.432,1068,646
2024-09-07 21:59:05.441,1065,649
2024-09-07 21:59:05.448,1065,652
2024-09-07 21:59:05.464,1065,654
2024-09-07 21:59:05.473,1063,657
2024-09-07 21:59:05.480,1060,659
2024-09-07 21:59:05.489,1060,662
2024-09-07 21:59:05.496,1058,666
2024-09-07 21:59:05.504,1055,669
2024-09-07 21:59:05.512,1053,672
2024-09-07 21:59:05.520,1050,676
