Timestamp,X,Y
2024-09-07 22:09:39.423,563,719
2024-09-07 22:09:39.432,563,717
2024-09-07 22:09:39.439,563,715
2024-09-07 22:09:39.448,563,712
2024-09-07 22:09:39.455,563,710
2024-09-07 22:09:39.464,563,705
2024-09-07 22:09:39.471,563,700
2024-09-07 22:09:39.480,566,695
2024-09-07 22:09:39.488,568,690
2024-09-07 22:09:39.496,571,683
2024-09-07 22:09:39.503,573,680
2024-09-07 22:09:39.511,576,675
2024-09-07 22:09:39.519,578,668
2024-09-07 22:09:39.528,581,665
2024-09-07 22:09:39.535,583,658
2024-09-07 22:09:39.544,586,653
2024-09-07 22:09:39.551,589,647
2024-09-07 22:09:39.560,592,640
2024-09-07 22:09:39.567,594,633
2024-09-07 22:09:39.575,598,628
2024-09-07 22:09:39.583,602,625
2024-09-07 22:09:39.591,604,620
2024-09-07 22:09:39.599,607,616
2024-09-07 22:09:39.608,609,612
2024-09-07 22:09:39.615,613,607
2024-09-07 22:09:39.624,618,601
2024-09-07 22:09:39.631,623,595
2024-09-07 22:09:39.640,628,587
2024-09-07 22:09:39.648,633,580
2024-09-07 22:09:39.656,639,572
2024-09-07 22:09:39.664,646,565
2024-09-07 22:09:39.672,654,557
2024-09-07 22:09:39.679,661,550
2024-09-07 22:09:39.688,668,542
2024-09-07 22:09:39.695,674,537
2024-09-07 22:09:39.703,679,532
2024-09-07 22:09:39.712,684,527
2024-09-07 22:09:39.720,689,523
2024-09-07 22:09:39.728,693,521
2024-09-07 22:09:39.736,697,518
2024-09-07 22:09:39.744,701,515
2024-09-07 22:09:39.751,704,511
2024-09-07 22:09:39.760,708,507
2024-09-07 22:09:39.766,712,503
2024-09-07 22:09:39.776,716,501
2024-09-07 22:09:39.782,719,498
2024-09-07 22:09:39.792,723,495
2024-09-07 22:09:39.799,727,491
2024-09-07 22:09:39.807,731,488
2024-09-07 22:09:39.815,734,486
2024-09-07 22:09:39.823,737,485
2024-09-07 22:09:39.831,739,482
2024-09-07 22:09:39.839,742,482
2024-09-07 22:09:39.848,746,480
2024-09-07 22:09:39.855,751,477
2024-09-07 22:09:39.863,754,477
2024-09-07 22:09:39.871,758,475
2024-09-07 22:09:39.880,763,472
2024-09-07 22:09:39.887,768,470
2024-09-07 22:09:39.896,772,467
2024-09-07 22:09:39.903,776,467
2024-09-07 22:09:39.911,781,465
2024-09-07 22:09:39.919,786,462
2024-09-07 22:09:39.927,789,462
